('1.38to1.4', 'fpfs', 2.0574710017646744e-20, 'line cutoff', 134, 'integral', 2990.0416319999999, 'together', 8.2435780955582233e-15)
('1.4to1.42', 'fpfs', 6.6484872901574319e-20, 'line cutoff', 145, 'integral', 2959.7119155, 'together', 2.8532530226457427e-14)
('1.42to1.44', 'fpfs', 5.3799195343192802e-15, 'line cutoff', 145, 'integral', 2983.0257355000003, 'together', 2.3270235717400709e-09)
('1.44to1.46', 'fpfs', 1.8283277399911946e-10, 'line cutoff', 144, 'integral', 2974.0093054999998, 'together', 7.8299477456221387e-05)
('1.46to1.48', 'fpfs', 5.8732967659275382e-10, 'line cutoff', 161, 'integral', 2991.5907480000001, 'together', 0.00028288505426983507)
('1.48to1.5', 'fpfs', 2.4910015846614363e-09, 'line cutoff', 117, 'integral', 2975.7460850000002, 'together', 0.00086727282095435266)
('1.5to1.52', 'fpfs', 1.8149572243187242e-08, 'line cutoff', 132, 'integral', 2988.5570164999999, 'together', 0.0071598161545483145)
('1.52to1.54', 'fpfs', 8.6413664942857954e-09, 'line cutoff', 66, 'integral', 2963.8448115000001, 'together', 0.0016903701703916874)
('1.54to1.56', 'fpfs', 2.7352006082278962e-08, 'line cutoff', 67, 'integral', 2969.8859044999999, 'together', 0.005442566600678423)
('1.56to1.58', 'fpfs', 3.8953418767599724e-10, 'line cutoff', 44, 'integral', 2973.5798274999997, 'together', 5.0965684114177549e-05)
('1.58to1.6', 'fpfs', 1.1328352913540509e-08, 'line cutoff', 61, 'integral', 2974.8313395, 'together', 0.002055696295599103)
('1.6to1.62', 'fpfs', 2.4112889973905246e-11, 'line cutoff', 84, 'integral', 3012.4268014999998, 'together', 6.1016185455970744e-06)
('1.62to1.64', 'fpfs', 8.8367099255090184e-12, 'line cutoff', 118, 'integral', 2968.4889990000001, 'together', 3.0953377917448602e-06)
('1.64to1.66', 'fpfs', 2.4183106706074661e-17, 'line cutoff', 56, 'integral', 2960.1855304999999, 'together', 4.0088430230161441e-12)
('1.66to1.68', 'fpfs', 6.7661039493557295e-15, 'line cutoff', 59, 'integral', 2991.0159215000003, 'together', 1.1940139537037741e-09)
('1.68to1.7', 'fpfs', 3.5067918726720851e-17, 'line cutoff', 31, 'integral', 2979.5751600000003, 'together', 3.2391124860821249e-12)
('1.7to1.72', 'fpfs', 2.5946010820430637e-17, 'line cutoff', 15, 'integral', 3006.4427825000002, 'together', 1.1700779544862591e-12)
('1.72to1.74', 'fpfs', 4.0034198337369407e-17, 'line cutoff', 12, 'integral', 2942.9365189999999, 'together', 1.4138172515512021e-12)
('1.74to1.76', 'fpfs', 3.054067125720318e-15, 'line cutoff', 44, 'integral', 3011.9299794999997, 'together', 4.0473999875594651e-10)
('1.76to1.78', 'fpfs', 1.703234461365278e-16, 'line cutoff', 35, 'integral', 2988.1674094999998, 'together', 1.7813423978661535e-11)
('1.78to1.8', 'fpfs', 1.7706619001549656e-16, 'line cutoff', 29, 'integral', 2960.9982275000002, 'together', 1.5204487568795841e-11)
('1.8to1.82', 'fpfs', 2.0958151840444146e-10, 'line cutoff', 58, 'integral', 2979.4753965, 'together', 3.6217692703534421e-05)
('1.82to1.84', 'fpfs', 3.3208917785895428e-16, 'line cutoff', 76, 'integral', 2995.993665, 'together', 7.5615217554116884e-11)
('1.84to1.86', 'fpfs', 6.4524469442512368e-16, 'line cutoff', 139, 'integral', 2958.3982180000003, 'together', 2.6533581482841245e-10)
('1.86to1.88', 'fpfs', 4.0750909888441434e-12, 'line cutoff', 136, 'integral', 2971.5031264999998, 'together', 1.6468438035206392e-06)
('1.88to1.9', 'fpfs', 3.5733462278218403e-11, 'line cutoff', 159, 'integral', 2982.4427974999999, 'together', 1.6945108145024255e-05)
('1.9to1.92', 'fpfs', 1.2117267656270946e-10, 'line cutoff', 176, 'integral', 2991.1407684999999, 'together', 6.3790237789517309e-05)
('1.92to1.94', 'fpfs', 1.3329041309173938e-10, 'line cutoff', 181, 'integral', 2999.4400215000001, 'together', 7.2363184511243156e-05)
('1.94to1.96', 'fpfs', 1.913354931060086e-15, 'line cutoff', 126, 'integral', 2948.535288, 'together', 7.1084091112013326e-10)
('1.96to1.98', 'fpfs', 2.6496068638403952e-15, 'line cutoff', 18, 'integral', 3008.2984605000001, 'together', 1.434745484895833e-10)
('1.98to2.0', 'fpfs', 3.1934680353932843e-12, 'line cutoff', 65, 'integral', 2953.2482765, 'together', 6.130217581528987e-07)
