('1.85to1.9', 'fpfs', 1.7842390384623949e-13, 'line cutoff', 2, 'integral', 11.242697499999998, 'together', 4.0119319554247132e-12)
('1.9to1.95', 'fpfs', 2.8774343096332755e-13, 'line cutoff', 2, 'integral', 11.530079000000001, 'together', 6.6354089814764261e-12)
('1.95to2.0', 'fpfs', 1.1196207447755728e-13, 'line cutoff', 1, 'integral', 9.8656670000000002, 'together', 1.1045805434247791e-12)
('2.0to2.05', 'fpfs', 1.5798449714882106e-17, 'line cutoff', 1, 'integral', 10.105464, 'together', 1.5965066484955138e-16)
('2.05to2.1', 'fpfs', 1.3769937130993474e-15, 'line cutoff', 2, 'integral', 8.2946779999999993, 'together', 2.2843438916366936e-14)
('2.1to2.15', 'fpfs', 9.7896810348744929e-12, 'line cutoff', 2, 'integral', 8.4856160000000003, 'together', 1.6614294804885513e-10)
('2.15to2.2', 'fpfs', 7.5857380755790406e-13, 'line cutoff', 1, 'integral', 6.5236430000000007, 'together', 4.9486647096584681e-12)
('2.2to2.25', 'fpfs', 1.7540432746278831e-15, 'line cutoff', 1, 'integral', 6.6682945, 'together', 1.1696477120963103e-14)
('2.25to2.3', 'fpfs', 2.7908302324771549e-16, 'line cutoff', 2, 'integral', 6.8133119999999998, 'together', 3.802959422579878e-15)
('2.3to2.35', 'fpfs', 4.5477054137182201e-16, 'line cutoff', 1, 'integral', 6.9567040000000002, 'together', 3.1637040442435196e-15)
