#composite1.txt

This is a composite albedo based on the surface fractions for an Earth model run for the 03.19.2008 EPOXI/Earth data model comparison (Earth at spring equinox, based on an equatorial view). The Earth model give the surface fraction of each component type (including clouds) for each simulated observation. The clouds were removed and the surface type renormalized so that the total fraction summed to 1. The resulting surface component fractions are: 65.6% seawater, 4% conifer forest, 13.6% grassland/brush, 5.5% soil/desert, and 11.3% snow/ice. For a version that does not include vegetation (forest/grassland) see composite2.txt. Prepared by E. Schwieterman on 7/26/2016. 

Wl[um] Alb
1.540 0.099
1.546 0.101
1.552 0.103
1.558 0.104
1.564 0.105
1.571 0.106
1.577 0.108
1.585 0.110
1.591 0.111
1.599 0.113
1.605 0.114
1.613 0.116
1.619 0.117
1.627 0.118
1.633 0.119
1.641 0.120
1.647 0.121
1.655 0.121
1.661 0.121
1.669 0.122
1.676 0.121
1.684 0.120
1.692 0.120
1.700 0.119
1.708 0.119
1.716 0.116
1.724 0.116
1.732 0.114
1.740 0.114
1.748 0.113
1.756 0.112
1.764 0.110
1.772 0.109
1.780 0.109
1.788 0.109
1.796 0.108
1.805 0.108
1.815 0.108
1.825 0.106
1.835 0.105
1.845 0.103
1.855 0.098
1.865 0.093
1.875 0.083
1.885 0.073
1.895 0.063
1.905 0.056
1.915 0.051
1.925 0.050
1.935 0.050
1.945 0.051
1.955 0.052
1.965 0.055
1.975 0.057
1.985 0.059
1.995 0.061
2.005 0.062
2.015 0.064
2.025 0.064
2.035 0.064
2.045 0.063
2.055 0.063
2.065 0.063
2.075 0.064
2.085 0.065
2.095 0.064
2.105 0.066
2.115 0.067
2.125 0.069
2.135 0.069
2.145 0.071
2.155 0.071
2.165 0.073
2.175 0.073
2.185 0.074
2.195 0.074
2.205 0.075
2.215 0.075
2.225 0.075
2.235 0.073
2.245 0.072
2.255 0.069
2.265 0.068
2.275 0.066
2.285 0.065
2.295 0.064
2.305 0.061
2.315 0.060
2.325 0.059
2.335 0.058
2.345 0.057
2.355 0.056
2.365 0.056
2.375 0.055
2.386 0.053
2.400 0.052
2.418 0.049
2.440 0.046
2.466 0.041
2.496 0.037
2.528 0.036
2.560 0.036
2.592 0.035
2.624 0.034
2.656 0.031
2.688 0.026
2.720 0.017
2.752 0.008
2.784 0.008
2.816 0.006
2.848 0.004
2.880 0.006
2.912 0.006
2.944 0.006
2.976 0.004
3.000 0.004
5.000 0.002
10.00 0.000
300.0 0.000
