0.004 7.68e-21
0.006 1.392e-20
0.008 2.448e-20
0.01 3.664e-20
0.012 5.884e-20
0.014 8.716000000000001e-20
0.016 1.169e-19
0.018 1.4407999999999998e-19
0.02 1.7022e-19
0.022 2.002e-19
0.024 2.296e-19
0.026 2.584e-19
0.028 2.878e-19
0.03 3.1020000000000004e-19
0.0304 3.2000000000000003e-19
0.032 3.316e-19
0.034 3.516e-19
0.036 3.628e-19
0.0368 3.6800000000000004e-19
0.038 3.72e-19
0.04 3.846e-19
0.042 3.8820000000000003e-19
0.044 3.934e-19
0.046 4.05e-19
0.048 4.2040000000000004e-19
0.0499 4.396e-19
0.05 4.42e-19
0.052 4.76e-19
0.054 5.09e-19
0.0554 5.12e-19
0.056 5.116e-19
0.058 4.754e-19
0.0585 4.4e-19
0.06 5.28e-19
0.0609 5.22e-19
0.062 5.188e-19
0.0625 5.18e-19
0.063 5.160000000000001e-19
0.064 5.232e-19
0.066 5.0040000000000005e-19
0.068 4.748e-19
0.07 6.346e-19
0.072 5.972e-19
0.074 5.850000000000001e-19
0.076 4.472e-19
0.0765 4.0000000000000004e-19
0.077 3.6e-19
0.078 5.500000000000001e-19
0.079 5.6e-19
0.08 7.510000000000001e-19
0.082 6.636e-19
0.0834 2.6e-19
0.084 3.9420000000000004e-19
0.086 2.56e-19
0.088 1.912e-19
0.09 2.344e-19
0.092 2.578e-19
0.0923 8.000000000000001e-20
0.0933 5.12e-19
0.0938 1.0000000000000001e-19
0.094 4.652e-19
0.095 1.2600000000000002e-19
0.096 4.832000000000001e-19
0.0973 6.400000000000001e-19
0.0977 8.000000000000001e-20
0.098 4.446e-19
0.0991 3.8e-20
0.1 1.02e-19
0.102 2.46e-20
0.1026 3.2e-20
0.1035 2.4e-20
0.106 2.0000000000000002e-20
0.111 2e-21
0.1155 8e-21
0.119 2e-21
0.121 1.4e-20
0.1216 2.26e-22
0.125 2.0000000000000002e-20
0.13 8.4e-21
0.135 9.1e-20
0.14 2.7200000000000003e-19
0.145 2.82e-19
0.15 2.3000000000000003e-19
0.155 1.6479999999999998e-19
0.16 9.94e-20
0.165 4.16e-20
0.17 1.444e-20
0.175 5.48e-21
0.18 1.9999999999999999e-22
0.185 3e-23
0.19 2.0000000000000002e-24
0.195 3.1999999999999997e-25
0.2 1.618e-25
0.205 1.524e-25
0.21 1.3659999999999998e-25
0.215 1.11e-25
0.22 8.88e-26
0.225 7.06e-26
0.23 5.320000000000001e-26
0.235 3.8e-26
0.24 2.46e-26
0.245 5.22e-27
0.25 0.0
2.5 0.0
25.0 0.0
200.0 0.0
2000.0 0.0
